caseid,year,id,age,sex,educ,degree,rincome,gunlaw,gunsales
"20063730",2006,3730,78,2,3,0,0,0,0
"20063731",2006,3731,24,2,13,1,9,0,0
"20063732",2006,3732,74,2,14,1,0,0,0
"20063733",2006,3733,37,2,12,1,12,0,0
"20063734",2006,3734,49,2,12,1,2,1,1
"20063735",2006,3735,62,1,12,1,0,0,0
"20063736",2006,3736,47,1,10,0,0,0,0
"20063737",2006,3737,40,2,12,1,10,0,0
"20063738",2006,3738,72,2,9,0,0,0,0
"20063739",2006,3739,38,1,12,1,13,0,0
"20063740",2006,3740,60,1,14,2,0,0,0
"20063741",2006,3741,40,2,11,1,12,1,0
"20063742",2006,3742,61,1,16,3,0,2,0
"20063743",2006,3743,82,2,12,1,0,1,0
"20063744",2006,3744,48,2,10,0,9,1,0
"20063745",2006,3745,53,1,10,0,12,2,0
"20063746",2006,3746,45,2,17,3,12,1,0
"20063747",2006,3747,33,2,14,2,0,1,0
"20063748",2006,3748,45,1,12,1,12,1,4
"20063749",2006,3749,52,2,12,1,10,1,1
"20063750",2006,3750,18,2,12,1,0,1,0
"20063751",2006,3751,45,2,14,2,12,0,0
"20063752",2006,3752,61,1,11,1,12,1,1
"20063753",2006,3753,47,2,10,0,0,0,0
"20063754",2006,3754,60,2,12,1,11,0,0
"20063755",2006,3755,19,2,12,1,2,1,0
"20063756",2006,3756,55,1,17,4,12,0,0
"20063757",2006,3757,35,1,17,2,6,0,1
"20063758",2006,3758,72,1,14,2,0,0,5
"20063759",2006,3759,25,2,16,3,12,1,0
"20063760",2006,3760,32,2,9,1,12,1,1
"20063761",2006,3761,27,1,14,1,12,2,3
"20063762",2006,3762,89,2,7,0,0,0,0
"20063763",2006,3763,28,2,12,1,3,1,1
"20063764",2006,3764,51,1,12,1,12,0,0
"20063765",2006,3765,38,2,14,1,9,1,0
"20063766",2006,3766,48,2,16,3,12,0,1
"20063767",2006,3767,43,2,16,3,12,0,0
"20063768",2006,3768,58,2,0,0,0,8,0
"20063769",2006,3769,57,2,12,1,10,2,0
"20063770",2006,3770,24,1,10,0,11,0,1
"20063771",2006,3771,64,2,14,1,0,0,0
"20063772",2006,3772,22,1,10,1,12,1,1
"20063773",2006,3773,46,2,14,2,13,1,0
"20063774",2006,3774,61,2,12,1,10,0,0
"20063775",2006,3775,55,1,10,0,12,0,0
"20063776",2006,3776,71,1,8,0,0,0,5
"20063777",2006,3777,34,2,12,1,12,2,3
"20063778",2006,3778,19,1,12,1,0,1,0
"20063779",2006,3779,70,2,16,3,99,0,0
"20063780",2006,3780,60,2,13,1,11,0,2
"20063781",2006,3781,61,1,10,0,10,1,0
"20063782",2006,3782,63,2,12,1,0,2,1
"20063783",2006,3783,63,2,18,4,13,1,1
"20063784",2006,3784,47,1,14,1,0,1,0
"20063785",2006,3785,82,2,12,1,0,0,0
"20063786",2006,3786,66,2,15,1,0,0,1
"20063787",2006,3787,51,2,13,1,12,0,0
"20063788",2006,3788,42,1,12,1,12,0,0
"20063789",2006,3789,44,2,14,2,12,1,0
"20063790",2006,3790,53,1,12,1,11,0,0
"20063791",2006,3791,45,1,12,1,12,0,0
"20063792",2006,3792,52,2,12,1,9,0,0
"20063793",2006,3793,57,1,14,1,12,1,1
"20063794",2006,3794,32,2,12,1,0,0,0
"20063795",2006,3795,53,1,12,1,0,1,1
"20063796",2006,3796,59,1,10,0,0,0,0
"20063797",2006,3797,47,1,12,1,12,0,0
"20063798",2006,3798,56,2,11,0,12,1,1
"20063799",2006,3799,67,2,14,1,0,1,1
"20063800",2006,3800,29,2,12,1,0,0,0
"20063801",2006,3801,62,2,10,0,0,1,1
"20063802",2006,3802,34,1,12,1,0,1,1
"20063803",2006,3803,61,2,13,1,13,2,3
"20063804",2006,3804,62,2,12,1,8,1,0
"20063805",2006,3805,38,1,14,1,12,1,1
"20063806",2006,3806,54,2,12,1,0,1,0
"20063807",2006,3807,69,1,8,0,0,0,0
"20063808",2006,3808,29,1,11,0,0,0,0
"20063809",2006,3809,28,1,12,1,5,0,1
"20063810",2006,3810,82,1,6,0,0,0,0
"20063811",2006,3811,26,2,14,1,11,0,0
"20063812",2006,3812,39,1,11,1,6,0,0
"20063813",2006,3813,63,1,9,0,0,1,4
"20063814",2006,3814,46,1,6,0,0,0,0
"20063815",2006,3815,63,2,6,0,0,1,0
