CASEID,ABANY,ABFIRM,ABIMP,ABINFO
"1982 431",2,4,1,1
"1982 432",1,4,2,1
"1982 433",1,4,4,2
"1982 434",2,2,2,3
"1982 435",1,3,1,2
"1982 436",2,2,3,4
"1982 437",2,2,3,3
"1982 438",1,4,4,3
"1982 439",2,4,1,3
"1982 440",2,4,2,1
"1982 441",2,4,2,2
"1982 442",1,4,2,3
"1982 443",8,4,2,3
"1982 444",2,4,1,2
"1982 445",2,1,1,1
"1982 446",1,4,3,2
"1982 447",8,4,2,2
"1982 448",1,3,3,2
"1982 449",1,4,1,1
"1982 450",1,4,2,2
"1982 451",2,4,2,2
"1982 452",2,4,3,4
"1982 453",1,4,2,3
"1982 454",1,3,3,3
"1982 455",2,3,3,3
"1982 456",2,4,2,2
"1982 457",2,2,1,2
"1982 458",1,4,4,1
"1982 459",1,2,2,3
"1982 460",2,4,2,2
"1982 461",2,4,2,1
"1982 462",2,2,2,2
"1982 463",1,4,2,1
"1982 464",2,3,3,2
"1982 465",1,3,3,2
"1982 466",2,3,2,1
"1982 467",1,4,4,2
"1982 468",2,1,4,1
"1982 469",2,4,1,1
"1982 470",2,4,2,2
"1982 471",2,4,2,2
"1982 472",1,4,2,2
"1982 473",2,4,3,1
"1982 474",1,3,4,2
"1982 475",1,3,3,1
"1982 476",2,3,3,2
"1982 477",2,3,2,2
"1982 478",2,4,3,2
"1982 479",2,2,3,4
"1982 480",2,4,2,3
"1982 481",9,9,9,9
"1982 482",1,3,2,3
"1982 483",1,2,2,3
"1982 484",2,4,4,4
"1982 485",2,2,2,3
"1982 486",1,4,1,1
"1982 487",2,4,4,4
"1982 488",2,2,2,3
"1982 489",2,4,2,3
"1982 490",1,3,3,3
"1982 491",2,4,4,4
"1982 492",2,4,1,1
"1982 493",2,4,3,1
"1982 494",2,4,3,4
"1982 495",1,4,4,1
"1982 496",2,4,2,3
"1982 497",2,4,2,3
"1982 498",2,3,2,4
"1982 499",2,4,2,3
"1982 500",1,4,2,3
"1982 501",2,4,3,1
"1982 502",2,2,2,4
"1982 503",2,2,2,2
"1982 504",1,4,1,4
"1982 505",1,3,3,3
"1982 506",2,4,2,2
"1982 507",2,4,2,1
"1982 508",2,4,4,3
"1982 509",8,3,3,4
"1982 510",1,3,3,3
"1982 511",2,4,3,1
"1982 512",1,4,3,3
"1982 513",1,2,3,4
"1982 514",1,4,2,3
"1982 515",1,4,2,2
"1982 516",2,4,1,3
"1982 517",2,4,3,1
"1982 518",1,4,4,3
"1982 519",2,2,2,4
"1982 520",1,3,3,4
"1982 521",1,4,3,1
"1982 522",2,3,2,3
"1982 523",1,4,2,2
"1982 524",2,4,1,1
"1982 525",1,4,3,3
"1982 526",2,4,2,1
"1982 527",1,1,2,3
"1982 528",2,4,4,1
"1982 529",2,3,2,2
"1982 530",2,4,2,2
"1982 531",2,2,2,4
"1982 532",2,1,3,3
"1982 533",2,4,2,3
"1982 534",2,3,3,3
"1982 535",2,8,4,4
"1982 536",2,3,2,3
"1982 537",2,4,3,3
"1982 538",1,3,2,2
"1982 539",8,4,2,2
"1982 540",1,4,2,2
"1982 541",1,4,2,2
"1982 542",2,3,3,4
"1982 543",2,4,2,3
"1982 544",2,4,3,3
"1982 545",8,2,3,2
"1982 546",2,4,2,3
"1982 547",1,2,3,3
"1982 548",2,4,2,1
"1982 549",1,2,3,4
"1982 550",2,4,1,3
"1982 551",2,4,2,3
"1982 552",2,1,3,4
"1982 553",2,1,2,2
"1982 554",2,1,2,2
"1982 555",2,4,3,3
"1982 556",1,2,3,4
"1982 557",2,4,2,4
"1982 558",1,4,4,4
"1982 559",2,4,4,3
"1982 560",2,2,3,3
"1982 561",2,4,2,3
"1982 562",2,1,4,3
"1982 563",2,3,3,3
"1982 564",2,3,3,3
"1982 565",2,3,2,3
"1982 566",2,3,3,4
"1982 567",2,4,3,4
"1982 568",1,3,4,3
"1982 569",2,8,4,4
"1982 570",2,3,3,3
"1982 571",2,4,2,1
"1982 572",2,3,3,4
"1982 573",2,3,3,4
"1982 574",2,4,2,1
"1982 575",2,4,2,3
"1982 576",1,4,3,3
"1982 577",2,3,3,3
"1982 578",1,3,4,4
"1982 579",2,4,1,2
"1982 580",2,2,3,3
"1982 581",2,3,2,3
"1982 582",2,3,3,4
"1982 583",2,4,2,2
"1982 584",1,3,2,4
"1982 585",2,4,3,3
"1982 586",2,4,2,2
"1982 587",1,3,2,2
"1982 588",2,4,2,3
"1982 589",1,4,2,1
"1982 590",1,4,1,1
"1982 591",2,4,1,1
"1982 592",2,4,2,3
"1982 593",2,4,1,2
"1982 594",2,2,2,4
"1982 595",2,4,3,4
"1982 596",1,4,1,3
"1982 597",1,4,4,1
"1982 598",1,4,2,1
"1982 599",1,3,2,3
"1982 600",2,4,2,2
"1982 601",1,4,3,4
"1982 602",2,4,4,1
"1982 603",2,4,2,1
"1982 604",8,9,8,4
"1982 605",1,4,2,4
"1982 606",2,3,2,3
"1982 607",2,3,3,4
"1982 608",2,4,2,3
"1982 609",2,3,3,4
"1982 610",2,4,3,4
"1982 611",2,4,4,1
"1982 612",2,4,2,1
"1982 613",2,4,4,2
"1982 614",2,4,1,1
"1982 615",2,4,1,2
"1982 616",2,3,3,3
"1982 617",1,4,2,1
"1982 618",1,4,3,3
"1982 619",1,4,1,1
"1982 620",8,1,2,4
"1982 621",2,4,2,1
"1982 622",2,4,1,1
"1982 623",2,4,3,4
"1982 624",1,4,2,2
"1982 625",2,3,3,3
"1982 626",2,3,3,3
"1982 627",2,2,2,3
"1982 628",1,4,1,1
"1982 629",1,2,3,3
"1982 630",2,4,1,4
"1982 631",2,2,2,4
"1982 632",2,3,3,3
"1982 633",2,3,2,2
"1982 634",2,4,2,2
"1982 635",1,4,2,2
"1982 636",1,3,2,3
"1982 637",2,4,3,1
"1982 638",2,4,4,1
"1982 639",1,4,4,4
"1982 640",2,4,4,1
"1982 641",2,3,2,3
"1982 642",1,3,2,2
"1982 643",2,3,2,2
"1982 644",1,4,2,2
"1982 645",1,2,4,3
"1982 646",2,4,2,1
"1982 647",1,2,4,4
"1982 648",2,4,3,1
"1982 649",2,4,3,3
"1982 650",8,4,2,2
"1982 651",2,4,2,2
"1982 652",2,2,4,3
"1982 653",2,4,2,2
"1982 654",2,3,3,3
"1982 655",2,4,2,1
"1982 656",2,2,3,3
"1982 657",1,4,3,3
"1982 658",2,4,2,4
"1982 659",2,4,3,4
"1982 660",1,4,2,4
"1982 661",2,4,2,1
"1982 662",2,4,3,3
"1982 663",2,3,3,3
"1982 664",2,4,2,4
"1982 665",2,4,3,2
"1982 666",1,3,1,1
"1982 667",1,4,2,2
"1982 668",2,4,2,3
"1982 669",2,4,3,4
"1982 670",1,2,4,3
"1982 671",2,4,3,4
"1982 672",2,4,2,3
"1982 673",1,2,3,3
"1982 674",1,4,2,1
"1982 675",2,4,3,4
"1982 676",2,4,4,4
"1982 677",2,4,8,4
"1982 678",2,4,2,1
"1982 679",2,4,1,1
"1982 680",2,4,3,4
"1982 681",2,4,1,4
"1982 682",2,2,3,3
"1982 683",2,4,1,2
"1982 684",2,4,2,4
"1982 685",2,4,3,4
"1982 686",2,4,2,4
"1982 687",2,4,2,4
"1982 688",2,4,3,4
"1982 689",2,8,2,3
"1982 690",8,4,3,3
"1982 691",2,4,2,3
"1982 692",2,4,3,3
"1982 693",2,4,2,2
"1982 694",2,4,3,4
"1982 695",8,8,4,4
"1982 696",2,3,2,3
"1982 697",1,3,3,4
"1982 698",1,2,3,4
"1982 699",2,3,3,2
"1982 700",2,4,4,3
"1982 701",2,3,2,2
"1982 702",2,2,2,4
"1982 703",1,3,2,3
"1982 704",2,4,1,2
"1982 705",2,4,2,2
"1982 706",2,4,4,4
"1982 707",1,4,3,4
"1982 708",2,4,2,3
"1982 709",2,4,2,3
"1982 710",2,3,3,3
"1982 711",2,4,3,4
"1982 712",2,4,3,4
"1982 713",2,4,2,4
"1982 714",2,4,3,3
"1982 715",2,3,3,4
"1982 716",2,3,2,3
"1982 717",2,4,2,4
"1982 718",2,4,2,4
"1982 719",1,4,2,4
"1982 720",2,4,4,4
"1982 721",2,4,2,4
"1982 722",2,4,2,1
"1982 723",2,8,4,4
"1982 724",2,2,2,3
"1982 725",2,3,2,3
"1982 726",1,1,3,4
"1982 727",2,4,2,3
"1982 728",2,8,3,4
"1982 729",2,4,3,3
"1982 730",2,4,3,4
"1982 731",2,1,4,4
"1982 732",2,3,3,3
"1982 733",1,1,3,3
"1982 734",2,4,1,1
"1982 735",2,3,2,4
"1982 736",2,4,2,4
"1982 737",1,2,2,2
"1982 738",2,4,2,3
"1982 739",1,4,3,3
"1982 740",1,4,2,3
"1982 741",1,4,1,1
"1982 742",1,4,2,1
"1982 743",1,3,2,2
"1982 744",1,4,1,2
"1982 745",1,3,3,4
"1982 746",2,4,3,1
"1982 747",2,4,2,2
"1982 748",2,4,3,3
"1982 749",1,3,2,3
"1982 750",1,4,3,2
"1982 751",1,3,3,3
"1982 752",1,4,3,3
"1982 753",1,4,2,2
"1982 754",1,4,2,2
"1982 755",1,4,1,3
"1982 756",8,4,4,4
"1982 757",1,4,4,4
"1982 758",2,1,3,3
"1982 759",1,4,1,4
"1982 760",2,4,1,1
"1982 761",1,4,1,1
"1982 762",1,4,3,1
"1982 763",1,4,1,1
"1982 764",1,4,3,1
"1982 765",2,2,4,4
"1982 766",8,8,8,8
"1982 767",1,2,2,3
"1982 768",2,4,2,1
"1982 769",1,2,2,4
"1982 770",1,4,4,1
"1982 771",2,3,2,1
"1982 772",1,3,3,4
"1982 773",1,4,1,2
"1982 774",2,4,3,4
"1982 775",2,4,1,3
"1982 776",2,4,1,1
"1982 777",1,2,4,3
"1982 778",1,4,2,1
"1982 779",8,8,4,3
"1982 780",2,4,2,1
"1982 781",1,4,3,2
"1982 782",2,4,3,4
"1982 783",2,2,1,2
"1982 784",1,8,4,4
"1982 785",1,4,2,1
"1982 786",1,4,2,2
"1982 787",1,4,3,1
"1982 788",9,8,4,4
"1982 789",1,3,3,4
"1982 790",1,3,3,3
"1982 791",2,4,3,3
"1982 792",1,4,1,2
"1982 793",2,3,3,4
"1982 794",1,4,4,3
"1982 795",1,3,3,1
"1982 796",1,3,2,2
"1982 797",1,4,2,4
"1982 798",2,4,1,2
"1982 799",1,3,2,2
"1982 800",1,8,2,8
"1982 801",2,2,4,3
"1982 802",1,4,2,2
"1982 803",2,4,4,2
"1982 804",2,4,2,4
"1982 805",2,4,2,2
"1982 806",8,2,2,3
"1982 807",1,3,8,4
"1982 808",2,4,3,1
"1982 809",2,4,3,3
"1982 810",1,3,4,3
"1982 811",2,4,3,1
"1982 812",1,3,2,3
"1982 813",1,4,1,1
"1982 814",1,4,3,2
"1982 815",1,2,3,3
"1982 816",1,2,2,1
"1982 817",1,4,2,1
"1982 818",2,4,4,1
"1982 819",2,8,4,4
"1982 820",1,4,1,1
"1982 821",1,4,3,3
"1982 822",1,3,3,1
"1982 823",2,4,2,2
"1982 824",1,4,2,4
"1982 825",1,4,3,3
"1982 826",2,4,1,3
"1982 827",1,4,2,2
"1982 828",1,4,3,4
"1982 829",2,4,3,4
"1982 830",1,3,2,2
"1982 831",2,4,4,8
"1982 832",1,4,2,3
"1982 833",1,4,3,3
"1982 834",2,4,3,3
"1982 835",1,4,4,1
"1982 836",1,4,1,3
"1982 837",1,4,1,1
"1982 838",2,4,2,4
"1982 839",2,4,3,1
"1982 840",1,4,2,1
"1982 841",2,1,2,1
"1982 842",1,3,3,2
"1982 843",1,4,4,2
"1982 844",1,4,1,2
"1982 845",1,4,3,1
"1982 846",1,4,3,1
"1982 847",2,3,3,1
"1982 848",8,8,3,4
"1982 849",8,4,4,4
"1982 850",8,8,4,4
"1982 851",2,4,1,3
"1982 852",2,3,4,3
"1982 853",1,4,1,2
"1982 854",2,4,2,2
"1982 855",1,3,2,2
"1982 856",2,4,1,1
"1982 857",1,3,3,2
"1982 858",2,2,2,4
"1982 859",2,4,3,1
"1982 860",1,3,2,2
"1982 861",1,4,2,2
"1982 862",2,3,2,1
"1982 863",1,3,3,4
"1982 864",2,4,2,4
"1982 865",1,2,3,3
"1982 866",2,3,1,2
"1982 867",1,2,1,4
